;ITALIAN
ACHIEVEMENTS/achievement_37_desc;Scava o distruggi 1000 pareti di caverne.
ACHIEVEMENTS/achievement_37_name;Sito di scavo
ACHIEVEMENTS/achievement_38_desc;Uccidi 30 Drillgor.
ACHIEVEMENTS/achievement_38_name;Scava o muori
ACHIEVEMENTS/achievement_39_desc;Uccidi 100 nemici con l'esplosione dei muri di cristallo.
ACHIEVEMENTS/achievement_39_name;Fragile
ACHIEVEMENTS/achievement_40_desc;Posizionare 250 trappole.
ACHIEVEMENTS/achievement_40_name;A casa da solo
ACHIEVEMENTS/achievement_41_desc;Scopri 10 bioanomalie nel bioma delle Caverne di Cristallo.
ACHIEVEMENTS/achievement_41_name;Bagliore sotterraneo
ACHIEVEMENTS/achievement_42_desc;Completa la modalità sopravvivenza nel bioma Crystal Caverns o nella campagna storia Into The Dark.
ACHIEVEMENTS/achievement_42_name;Entra nell'uscita
BUTTON_agree;Sono d'accordo
BUTTON_apply;Fare domanda a
BUTTON_install;Installare
BUTTON_mod_management;Modifiche
BUTTON_more;Di più
BUTTON_remove;Rimuovere
BUTTON_update;Aggiornamento
campaigns/survival/caverns.campaign;Caverne di Cristallo
gui/hud/building_description/crystal_lamp;La Lampada di Cristallo è un oggetto decorativo unico ed elegante che utilizza cristalli fluorescenti rinvenuti nelle caverne di Galatea 37.
gui/hud/building_description/drone_mine;La miniera di droni è un centro di raccolta per una flotta di droni automatizzati che raccoglieranno risorse solide di ogni tipo nel raggio d'azione della miniera.
gui/hud/building_description/energy_pylon;Il sistema Energy Relay consente al Riftbreaker di trasferire energia su lunghe distanze senza l'uso di Energy Connector. Sono necessari almeno due piloni affinché questa tecnologia funzioni correttamente.
gui/hud/building_description/loot_collector;La Loot Collector Tower è un centro per droni automatizzati che recuperano tutte le risorse e i materiali lasciati cadere nell'area operativa della torre.
gui/hud/building_description/mining_elevator;Il Mining Drill è una struttura altamente specializzata che consente al Riftbreaker di penetrare negli strati della crosta del pianeta e raggiungere in sicurezza i livelli sotto la superficie.
gui/hud/building_description/picker_tool;Questo strumento consente di scegliere un edificio già costruito e poi costruirne rapidamente un altro esemplare senza dover consultare il menu di costruzione.
gui/hud/building_description/pipe_junction;Questa struttura consente al Riftbreaker di attraversare due condotte che trasportano diversi tipi di risorse liquide senza mescolarle.
gui/hud/building_description/seismic_laboratory;Questo edificio contiene apparecchiature sismografiche molto precise che raccolgono dati per analisi geologiche su larga scala dell'area. Richiede una fornitura costante di acqua per scopi di raffreddamento.
gui/hud/building_description/test_dummy_enemy;Questa struttura ti consentirà di testare l'efficacia in combattimento delle tue armi, così come delle tue difese di base. Dopo l'installazione, verrà trattata come un'unità nemica.
gui/hud/building_description/test_dummy_neutral;Questa struttura ti permetterà di testare l'efficacia in combattimento delle tue armi. Tuttavia, non verrà riconosciuta come ostile dalle tue difese di base.
gui/hud/building_description/tower_acid_spitter;Questa torre difensiva ricopre il terreno con acido idrofugo altamente concentrato. L'acido danneggerà qualsiasi materia organica che entri in contatto con esso.
gui/hud/building_description/tower_gatling_laser;Una grande torre difensiva basata sull'energia. Spara rapidamente potenti proiettili al plasma. Il suo elevato potere d'arresto comporta un notevole consumo di energia.
gui/hud/building_description/tower_portal;Utilizzando un Rift Portal a corto raggio, questa torre difensiva consegnerà una testata armata, dando priorità alle unità ostili a lungo raggio. Grazie alla consegna immediata del carico utile, questa torre aggira i problemi connessi all'uso dell'artiglieria convenzionale.
gui/hud/building_description/trap_acid;Una volta attivata, questa trappola spruzzerà acido fluoridrico atomizzato nelle sue vicinanze. Può essere attivata solo un numero limitato di volte prima di dover essere sostituita.
gui/hud/building_description/trap_area;Utilizza un generatore di onde gravitazionali per creare piccole fluttuazioni del campo gravitazionale attorno a sé per infliggere danni in una piccola area. Può essere attivato solo un numero limitato di volte prima di dover essere sostituito.
gui/hud/building_description/trap_cryo;Questa trappola rilascia azoto liquido all'attivazione, congelando immediatamente tutta la materia nelle sue vicinanze. Può essere attivata solo un numero limitato di volte prima di dover essere sostituita.
gui/hud/building_description/trap_energy;Quando una creatura ostile attiva questa trappola, viene rilasciato un gran numero di elettroni liberi, provocando uno squilibrio nei campi elettrici statici nell'area circostante e provocando violente scariche elettriche. Può essere attivato solo un numero limitato di volte prima di dover essere sostituito.
gui/hud/building_description/trap_fire;Una volta attivata da una creatura ostile, questa trappola spruzza napalm in tutta l'area circostante, facendo sì che la materia organica prenda fuoco e subisca danni da fuoco. Può essere attivata solo un numero limitato di volte prima di dover essere sostituita.
gui/hud/building_description/trap_physical;Una volta attivata, questa trappola attiverà le sue lame rotanti affilate come rasoi, in grado di tagliare la maggior parte della materia organica con cui entra in contatto. Può essere attivata solo un numero limitato di volte prima di dover essere sostituita.
gui/hud/building_description/wall_crystal;Un muro difensivo fatto di cristalli sintetizzati trovati nelle profondità della rete di caverne di Galateo. Quando distrutto, il muro si frantumerà e i suoi frammenti danneggeranno le creature vicine.
gui/hud/building_info/activation_time;Tempo di attivazione
gui/hud/building_info/number_of_activations;Addebiti
gui/hud/building_name/colored_lamp;Lampada colorata
gui/hud/building_name/crystal_lamp;Lampada di cristallo
gui/hud/building_name/drone_mine;Mina di droni
gui/hud/building_name/energy_pylon;Pilone dell'energia
gui/hud/building_name/floor_crystal;Pavimento di cristallo
gui/hud/building_name/loot_collector;Collezionista di bottini
gui/hud/building_name/mining_elevator;Trivella mineraria
gui/hud/building_name/picker_tool;Strumento di selezione
gui/hud/building_name/pipe_junction;Giunzione del tubo
gui/hud/building_name/seismic_laboratory;Laboratorio sismico
gui/hud/building_name/test_dummy_enemy;Test Dummy Squadra nemica
gui/hud/building_name/test_dummy_neutral;Test Dummy Team Neutrale
gui/hud/building_name/tower_acid_spitter;Torre sputa-acido
gui/hud/building_name/tower_gatling_laser;Torre laser Gatling
gui/hud/building_name/tower_portal;Torre della Bomba Portale
gui/hud/building_name/trap_acid;Trappola – Acido
gui/hud/building_name/trap_area;Trappola – Esplosiva
gui/hud/building_name/trap_cryo;Trappola – Crio
gui/hud/building_name/trap_energy;Trappola – Energia
gui/hud/building_name/trap_fire;Trappola – Fuoco
gui/hud/building_name/trap_physical;Trappola – Fisica
gui/hud/building_name/wall_crystal;Muro di cristallo
gui/hud/resisted;RESISTITO
gui/loading/tooltip_21;La maggior parte delle specie di fauna aliena ha resistenze e debolezze specifiche ai danni. Equipaggiati con una vasta gamma di armi che infliggono diversi tipi di danni per aumentare le tue possibilità di sopravvivenza.
gui/loading/tooltip_22;Puoi riparare le rovine degli edifici distrutti per ricostruire rapidamente ampie porzioni della tua base.
gui/loading/tooltip_23;Riparare gli edifici prima che vengano completamente distrutti costa solo una frazione delle risorse necessarie per costruire un edificio da zero o ricostruirlo partendo da una rovina.
gui/loading/tooltip_24;"Attiva lo strumento di selezione dal menu di costruzione o premendo <img=""${picker}"">. Quando è attivo, puoi selezionare un edificio esistente dalla tua base per costruire rapidamente quello successivo dello stesso tipo. Ciò elimina la necessità di cercare questo edificio nel menu di costruzione ed è utile per una rapida espansione della base."
gui/loading/tooltip_25;Strumenti come riparazione, vendita, aggiornamento, cambio e costruzione di piani possono essere aumentati o diminuiti per rendere tali operazioni più rapide e precise.
gui/loading/tooltip_26;Le bio-anomalie sparse per Galatea sono una grande fonte di nuove mod, armi e progetti di edifici, ma attivarle può essere pericoloso. Variano per contenuto e quantità di pericolo. Quelle bianche sono le meno pericolose, mentre quelle blu, viola e rosse contengono più tesori e sono più protette.
gui/loading/tooltip_27;"È possibile sfogliare rapidamente le pagine del menu dell'edificio premendo <img=""${page_left}""> e <img=""${page_right}"">."
gui/loading/tooltip_28;Tutte le armi di livello superiore possono essere equipaggiate con mod per aggiungere nuove abilità o aumentare la loro potenza. Le armi blu hanno uno slot mod, mentre quelle viola ne hanno due e quelle rosse ne hanno tre.
gui/menu/appearance/skins/anomaly;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/crystal;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/gold;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/golem;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/magma;${gui/menu/appearance/skins/unique_skin}
gui/menu/appearance/skins/xmorph;${gui/menu/appearance/skins/unique_skin}
gui/menu/characteristics/header;Caratteristiche
gui/menu/characteristics/mecha_suit;Tuta da mecha
gui/menu/controls/minimap_zoom_in;Zoom sulla minimappa
gui/menu/downloadable_package/dlc_2;DLC Nel buio
gui/menu/inventory/consumable_description/barricade_standard;Questo dispositivo portatile consente al Riftbreaker di creare una barriera temporanea. La barriera rimarrà in posizione solo per un periodo di tempo limitato e può essere distrutta.
gui/menu/inventory/consumable_description/barricade_upgraded;Una versione più raffinata del normale dispositivo Barrier. La Barriera potenziata dovrebbe essere in grado di fornire al Riftbreaker una copertura per un periodo più lungo.
gui/menu/inventory/consumable_description/cluster_grenade_acid_standard;Questo tipo speciale di granata è confezionato con una miscela di sostanze altamente corrosive. La granata si divide in diversi pacchetti esplosivi più piccoli.
gui/menu/inventory/consumable_description/cluster_grenade_acid_upgraded;Una miscela più letale di sostanze corrosive ha permesso di creare questa versione della granata a grappolo, dotata di una potenza di fuoco notevolmente maggiore.
gui/menu/inventory/consumable_description/flare;Una parte dell'equipaggiamento base del Mecha-Suit. Fornisce luce nelle aree buie per un periodo di tempo limitato.
gui/menu/inventory/consumable_description/cryo_sentry_standard;Torretta difensiva automatizzata con raggio d'azione medio. Infligge danni Cryo e non richiede munizioni o energia esterne per sparare. Funziona per un periodo di tempo limitato.
gui/menu/inventory/consumable_description/cryo_sentry_upgraded;Una versione più potente della Cryo Sentry. Infligge più danni, ha un raggio di danno a spruzzo più ampio e rimane operativa più a lungo.
gui/menu/inventory/consumable_description/grenade_sonic_standard;Questo tipo di granata provoca una piccola esplosione accompagnata da un'esplosione sonica. Ha un'ampia area di efficacia.
gui/menu/inventory/consumable_description/grenade_sonic_upgraded;Il nuovo involucro di questa versione della Granata Sonica ne aumenta notevolmente l'efficacia.
gui/menu/inventory/consumable_description/holo_decoy_standard;Si tratta di un proiettore olografico portatile in grado di visualizzare una replica del Mecha-Suit una volta appoggiato a terra.
gui/menu/inventory/consumable_description/holo_decoy_upgraded;Il ridotto consumo energetico di questa versione del proiettore consente di mantenerlo acceso per periodi di tempo più lunghi.
gui/menu/inventory/consumable_name/barricade;Barricata
gui/menu/inventory/consumable_name/cluster_grenade_acid;Granata a grappolo acido
gui/menu/inventory/consumable_name/cryo_sentry;Sentinella criogenica
gui/menu/inventory/consumable_name/flare;Fiammata
gui/menu/inventory/consumable_name/grenade_sonic;Granata sonica
gui/menu/inventory/consumable_name/holo_decoy;Richiamo olografico
gui/menu/inventory/skill_description/antimatter_ball_standard;Genera una palla di antimateria che viaggia in avanti e danneggia i nemici sul suo percorso. Esplode dopo poco tempo o in caso di collisione con un oggetto solido e robusto come una roccia.
gui/menu/inventory/skill_description/antimatter_ball_upgraded;Grazie ai miglioramenti apportati al nucleo di fusione del Mecha'Suit, il carico di antimateria è molto più grande, aumentando così il potenziale distruttivo del proiettile.
gui/menu/inventory/skill_description/damage_trail_acid_standard;Questo modulo abilità consente al Riftbreaker di innescare un rilascio controllato di acido mentre la Mecha-Suit è in movimento.
gui/menu/inventory/skill_description/damage_trail_acid_upgraded;Il modulo Acid Trail migliorato controlla molto meglio il rilascio della sostanza acida, con conseguente tempo di rilascio più lungo e danni maggiori, grazie alla copertura più uniforme dell'area bersaglio.
gui/menu/inventory/skill_description/damage_trail_cryo_standard;Questo modulo abilità consente al Riftbreaker di innescare un rilascio controllato di azoto liquido mentre la Mecha-Suit è in movimento.
gui/menu/inventory/skill_description/damage_trail_cryo_upgraded;Il modulo Cryo Trail migliorato controlla molto meglio il rilascio dell'azoto liquido, con conseguente tempo di rilascio più lungo e danni maggiori grazie alla copertura più uniforme dell'area bersaglio.
gui/menu/inventory/skill_description/damage_trail_energy_standard;Questo modulo abilità consente al Riftbreaker di innescare una serie di scariche elettromagnetiche mentre la Mecha-Suit è in movimento.
gui/menu/inventory/skill_description/damage_trail_energy_upgraded;Il modulo Energy Trail migliorato controlla molto meglio il rilascio di energia, consentendo al Riftbreaker di sfruttare questo effetto più a lungo.
gui/menu/inventory/skill_description/damage_trail_fire_standard;Questo modulo abilità consente al Riftbreaker di innescare un rilascio controllato di napalm mentre il Mecha-Suit è in movimento.
gui/menu/inventory/skill_description/damage_trail_fire_upgraded;Il modulo Fire Trail migliorato controlla molto meglio il rilascio del napalm, con conseguente tempo di rilascio più lungo e danni maggiori, grazie alla copertura più uniforme dell'area bersaglio.
gui/menu/inventory/skill_description/flamewave_standard;Questo modulo abilità consente al Mecha-Suit di spruzzare una speciale miscela di sostanze chimiche infiammabili di fronte a sé. Provocano un'ondata di fuoco fiammeggiante a forma di cono che infligge danni a tutte le strutture sul suo cammino.
gui/menu/inventory/skill_description/flamewave_upgraded;Questo modulo utilizza una miscela di gas più sofisticata per provocare l'effetto Flame Wave, generando un'esplosione più potente che infligge più danni.
gui/menu/inventory/skill_description/generator_overcharge_standard;Il generatore della Mecha-Suit è impostato su overdrive per un paio di istanti per danneggiare o stordire i nemici nelle vicinanze. Gli scudi della Mecha-Suit si ricaricano rapidamente in questa modalità.
gui/menu/inventory/skill_description/generator_overcharge_upgraded;Un programma migliorato dell'unità di controllo consente al Mecha-Suit di spingere il generatore ancora di più, generando un'esplosione di energia maggiore una volta attivata la modalità overdrive.
gui/menu/inventory/skill_name/antimatter_ball;Palla di antimateria
gui/menu/inventory/skill_name/damage_trail_acid;Danni alla pista acida
gui/menu/inventory/skill_name/damage_trail_cryo;Danni alla pista criogenica
gui/menu/inventory/skill_name/damage_trail_energy;Danni alla scia di energia
gui/menu/inventory/skill_name/damage_trail_fire;Danni al sentiero di fuoco
gui/menu/inventory/skill_name/flamewave;Onda di fiamma
gui/menu/inventory/skill_name/generator_overcharge;Sovraccarico del generatore
gui/menu/inventory/upgrade_name/discovery_tools;Strumenti di scoperta
gui/menu/inventory/upgrade_name/gathering_tools;Strumenti di raccolta
gui/menu/inventory/upgrade/stat_name/loot_drone;Drone bottino
gui/menu/inventory/weapon_charge_description/bouncing_blades;Attacco caricato: l'arma sprigiona diverse lame rotanti in un cono più ampio.
gui/menu/inventory/weapon_charge_description/lava_gun;Attacco caricato: l'arma spara un grosso proiettile che incendia oggetti in un ampio raggio.
gui/menu/inventory/weapon_name/acid_spitter;Sputo acido
gui/menu/inventory/weapon_name/bouncing_blades;Lame rimbalzanti
gui/menu/inventory/weapon_name/cryo_spitter;Spewer criogenico
gui/menu/inventory/weapon_name/crystal_gun;Pistola a frammenti
gui/menu/inventory/weapon_name/debug_smg;Debug SMG
gui/menu/inventory/weapon_name/fire_spitter;Lanciafuoco
gui/menu/inventory/weapon_name/floating_mines_acid;Miniere galleggianti acide
gui/menu/inventory/weapon_name/floating_mines_cryo;Miniere galleggianti Cryo
gui/menu/inventory/weapon_name/floating_mines_gravity;Mine galleggianti Gravità
gui/menu/inventory/weapon_name/floating_mines_incendiary;Mine galleggianti incendiarie
gui/menu/inventory/weapon_name/lava_gun;Immolatore
gui/menu/inventory/weapon_name/pickaxe;Piccone
gui/menu/inventory/weapon_name/sonic_fist;Pugno sonico
gui/menu/load_menu/no_save_games;Non ci sono ancora partite salvate
gui/menu/mod_management/changelog;Registro delle modifiche
gui/menu/mod_management/header;Modifiche
gui/menu/mod_management/info/loading_mods;Caricamento informazioni mod...
gui/menu/mod_management/info/no_dependencies;Nessuna dipendenza
gui/menu/mod_management/info/no_mods;Non ci sono mod che corrispondono alla query
gui/menu/mod_management/info/no_selected_mod;Nessuna mod è stata selezionata
gui/menu/mod_management/info/unknown;Sconosciuto
gui/menu/mod_management/mod_details/author;Autore
gui/menu/mod_management/mod_details/dependencies;Dipendenze
gui/menu/mod_management/mod_details/file_list;Elenco dei file
gui/menu/mod_management/mod_details/game_version;Versione del gioco
gui/menu/mod_management/mod_details/homepage;Pagina iniziale
gui/menu/mod_management/mod_details/portal;Portale mod
gui/menu/mod_management/mod_details/size;Misurare
gui/menu/mod_management/mod_details/tags;Etichette
gui/menu/mod_management/mod_details/version;Versione mod
gui/menu/mod_management/privacy_policy;Politica sulla riservatezza
gui/menu/mod_management/query/platform_error;Si è verificato un errore durante il recupero dell'elenco delle mod.
gui/menu/mod_management/status/compatible;Compatibile
gui/menu/mod_management/status/downloading;Scaricamento in corso…
gui/menu/mod_management/status/incompatible;Incompatibile
gui/menu/mod_management/status/outdated;Obsoleto
gui/menu/mod_management/status/uninstalling;Disinstallazione in corso...
gui/menu/mod_management/status/up_to_date;Aggiornato
gui/menu/mod_management/table_header/downloads;Scaricare
gui/menu/mod_management/table_header/install;Installare
gui/menu/mod_management/table_header/manage;Maneggio
gui/menu/mod_management/table_header/name;Nome
gui/menu/mod_management/table_header/rating;Valutazione
gui/menu/mod_management/table_header/source;Fonte
gui/menu/mod_management/table_header/status;Stato
gui/menu/mod_management/tags/all;Tutti i tag
gui/menu/mod_management/tags/buildings;Edifici
gui/menu/mod_management/tags/creatures;Creature
gui/menu/mod_management/tags/items;Elementi
gui/menu/mod_management/tags/missions;Missioni
gui/menu/mod_management/tags/modpack;Pacchetto Mod
gui/menu/mod_management/tags/none;Nessun tag
gui/menu/mod_management/tags/other;Altro
gui/menu/mod_management/tags/rebalance;Riequilibrare
gui/menu/mod_management/tags/research;Ricerca
gui/menu/mod_management/tags/skins;Pelli
gui/menu/mod_management/tags/tiles;Piastrelle
gui/menu/mod_management/tags/weapons;Armi
gui/menu/mod_management/terms_of_use;Termini di utilizzo
gui/menu/mod_management/user_email;E-mail
gui/menu/research/building_limit_cap_increase_traps;Aumento del limite massimo di costruzione – Trappole
gui/menu/research/description/consumable_sonic_grenades_advanced;L'alloggiamento raffinato del dispositivo comporta una minore perdita di energia durante la fase iniziale di esplosione. Grazie a ciò, le onde sonore sono indisturbate e possono viaggiare più a lungo prima di dissiparsi.
gui/menu/research/description/consumable_sonic_grenades_extreme;L'alloggiamento raffinato del dispositivo comporta una minore perdita di energia durante la fase iniziale di esplosione. Grazie a ciò, le onde sonore sono indisturbate e possono viaggiare più a lungo prima di dissiparsi.
gui/menu/research/description/consumable_sonic_grenades_standard;Le granate soniche non sono distruttive come le loro controparti standard, ma forniscono un'area di effetto estesa. Le onde sonore ad alta frequenza generate dalle granate soniche sono dannose per la maggior parte delle creature.
gui/menu/research/description/consumable_sonic_grenades_superior;L'alloggiamento raffinato del dispositivo comporta una minore perdita di energia durante la fase iniziale di esplosione. Grazie a ciò, le onde sonore sono indisturbate e possono viaggiare più a lungo prima di dissiparsi.
gui/menu/research/description/drone_mine_lvl1;Questa tecnologia rappresenta uno sviluppo rivoluzionario nella raccolta delle risorse, poiché consente di costruire edifici con droni specializzati che raccolgono autonomamente risorse di ogni tipo nel loro raggio d'azione.
gui/menu/research/description/drone_mine_lvl2;La tecnologia aggiornata utilizza l'informatica quantistica e l'intelligenza artificiale all'avanguardia. Dotato di algoritmi avanzati e analisi predittive, il sistema aggiornato offre un'efficienza senza pari.
gui/menu/research/description/drone_mine_lvl3;La tecnologia aggiornata utilizza l'informatica quantistica e l'intelligenza artificiale all'avanguardia. Dotato di algoritmi avanzati e analisi predittive, il sistema aggiornato offre un'efficienza senza pari.
gui/menu/research/description/energy_pylon_lvl1;Tecnologia altamente avanzata che consente il trasferimento di energia su lunghe distanze senza la necessità di connessioni fisiche. Trasferisce istantaneamente energia tra i piloni e può collegare efficacemente reti energetiche separate.
gui/menu/research/description/mech_upgrade_discovery_tools_advanced;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_discovery_tools_extreme;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_discovery_tools_standard;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_discovery_tools_superior;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_gathering_tools_advanced;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_gathering_tools_extreme;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_gathering_tools_standard;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_upgrade_gathering_tools_superior;Questi moduli possono essere installati in uno degli slot di potenziamento della Mecha-Suit. Contengono istruzioni e programmi che alterano il comportamento e le abilità della Mecha-Suit. Questi moduli hanno tutti proprietà uniche e possono essere usati in modo intercambiabile l'uno con l'altro.
gui/menu/research/description/mech_weapons_acid_spitter_advanced;Grazie all'integrazione di algoritmi avanzati di disintegrazione molecolare e di un sofisticato sistema di puntamento che garantisce una precisione e una letalità senza pari sul campo di battaglia, l'arma ottiene un potere d'arresto notevolmente maggiore.
gui/menu/research/description/mech_weapons_acid_spitter_extreme;Grazie all'integrazione di algoritmi avanzati di disintegrazione molecolare e di un sofisticato sistema di puntamento che garantisce una precisione e una letalità senza pari sul campo di battaglia, l'arma ottiene un potere d'arresto notevolmente maggiore.
gui/menu/research/description/mech_weapons_acid_spitter_standard;Arma potente che sputa un flusso di sostanze chimiche concentrate, lasciando una pozza di acido sul terreno che danneggia i nemici. Mentre il flusso non infligge danni diretti, le pozze di acido persistenti possono rapidamente dissolvere la maggior parte delle unità nemiche più deboli.
gui/menu/research/description/mech_weapons_acid_spitter_superior;Grazie all'integrazione di algoritmi avanzati di disintegrazione molecolare e di un sofisticato sistema di puntamento che garantisce una precisione e una letalità senza pari sul campo di battaglia, l'arma ottiene un potere d'arresto notevolmente maggiore.
gui/menu/research/description/mech_weapons_bouncing_blades_advanced;Le lame rimbalzanti migliorate sono state rivestite con un nanomateriale iperresistente e autoreplicante che ripara e affila continuamente le lame, garantendo il massimo potenziale di danno anche dopo molteplici rimbalzi.
gui/menu/research/description/mech_weapons_bouncing_blades_extreme;Le lame rimbalzanti migliorate sono state rivestite con un nanomateriale iperresistente e autoreplicante che ripara e affila continuamente le lame, garantendo il massimo potenziale di danno anche dopo molteplici rimbalzi.
gui/menu/research/description/mech_weapons_bouncing_blades_standard;Le Bouncing Blades sono un'arma estremamente versatile e letale che lancia lame rotanti affilate come rasoi che possono rimbalzare su muri e altri ostacoli, consentendo una mira precisa e il massimo potenziale di danno.
gui/menu/research/description/mech_weapons_bouncing_blades_superior;Le lame rimbalzanti migliorate sono state rivestite con un nanomateriale iperresistente e autoreplicante che ripara e affila continuamente le lame, garantendo il massimo potenziale di danno anche dopo molteplici rimbalzi.
gui/menu/research/description/mech_weapons_cryo_spitter_advanced;Il sistema di puntamento avanzato del Cryo Spewer potenziato utilizza l'analisi dei dati in tempo reale e algoritmi predittivi per ottimizzare la traiettoria e l'impatto di ogni colpo, garantendo la massima efficacia anche contro i bersagli più elusivi.
gui/menu/research/description/mech_weapons_cryo_spitter_extreme;Il sistema di puntamento avanzato del Cryo Spewer potenziato utilizza l'analisi dei dati in tempo reale e algoritmi predittivi per ottimizzare la traiettoria e l'impatto di ogni colpo, garantendo la massima efficacia anche contro i bersagli più elusivi.
gui/menu/research/description/mech_weapons_cryo_spitter_standard;Il Cryo Spewer è un'arma che scatena un potente flusso di azoto liquido per congelare e infliggere danni criogenici ai nemici. Il suo design avanzato incorpora una tecnologia criogenica all'avanguardia, che gli consente di fornire un effetto preciso e devastante all'impatto.
gui/menu/research/description/mech_weapons_cryo_spitter_superior;Il sistema di puntamento avanzato del Cryo Spewer potenziato utilizza l'analisi dei dati in tempo reale e algoritmi predittivi per ottimizzare la traiettoria e l'impatto di ogni colpo, garantendo la massima efficacia anche contro i bersagli più elusivi.
gui/menu/research/description/mech_weapons_crystal_gun_advanced;Con una cadenza di fuoco più rapida e una precisione migliorata, la Shard Gun potenziata è un ottimo strumento per combattere gruppi di creature. Consente una precisione millimetrica, mentre la sua tecnologia cristallina all'avanguardia assicura la massima penetrazione e danni.
gui/menu/research/description/mech_weapons_crystal_gun_extreme;Con una cadenza di fuoco più rapida e una precisione migliorata, la Shard Gun potenziata è un ottimo strumento per combattere gruppi di creature. Consente una precisione millimetrica, mentre la sua tecnologia cristallina all'avanguardia assicura la massima penetrazione e danni.
gui/menu/research/description/mech_weapons_crystal_gun_standard;Simile a una mitragliatrice per la sua capacità di fuoco rapido, la Shard Gun spara schegge di cristallo che si spezzano e rimbalzano sulle superfici all'impatto, creando una raffica mortale di schegge in grado di eliminare più bersagli contemporaneamente.
gui/menu/research/description/mech_weapons_crystal_gun_superior;Con una cadenza di fuoco più rapida e una precisione migliorata, la Shard Gun potenziata è un ottimo strumento per combattere gruppi di creature. Consente una precisione millimetrica, mentre la sua tecnologia cristallina all'avanguardia assicura la massima penetrazione e danni.
gui/menu/research/description/mech_weapons_fire_spitter_advanced;Grazie ai sistemi di accensione e propulsione avanzati, l'Upgraded Fire Spewer può lanciare palle di napalm con maggiore precisione, velocità e gittata, consentendo al Riftbreaker di colpire bersagli da distanze maggiori e con maggiore precisione.
gui/menu/research/description/mech_weapons_fire_spitter_extreme;Grazie ai sistemi di accensione e propulsione avanzati, l'Upgraded Fire Spewer può lanciare palle di napalm con maggiore precisione, velocità e gittata, consentendo al Riftbreaker di colpire bersagli da distanze maggiori e con maggiore precisione.
gui/menu/research/description/mech_weapons_fire_spitter_standard;Il Fire Spewer sfrutta una tecnologia pirotecnica avanzata per proiettare un flusso di napalm surriscaldato che si infiamma al contatto con il suolo, creando un attacco ad area devastante in grado di incenerire rapidamente ondate di nemici.
gui/menu/research/description/mech_weapons_fire_spitter_superior;Grazie ai sistemi di accensione e propulsione avanzati, l'Upgraded Fire Spewer può lanciare palle di napalm con maggiore precisione, velocità e gittata, consentendo al Riftbreaker di colpire bersagli da distanze maggiori e con maggiore precisione.
gui/menu/research/description/mech_weapons_lava_gun_advanced;La versione aggiornata dell'Immolator sfrutta la sua già formidabile potenza grazie a tecniche avanzate di focalizzazione del plasma che producono un fascio di plasma più caldo e concentrato.
gui/menu/research/description/mech_weapons_lava_gun_extreme;La versione aggiornata dell'Immolator sfrutta la sua già formidabile potenza grazie a tecniche avanzate di focalizzazione del plasma che producono un fascio di plasma più caldo e concentrato.
gui/menu/research/description/mech_weapons_lava_gun_standard;L'Immolator spara proiettili al plasma surriscaldato che prendono fuoco all'impatto, creando un'esplosione devastante in grado di incenerire gruppi di nemici.
