;ITALIAN
ACHIEVEMENTS/achievement_01_desc;Esplora almeno il 50% dell'area di una missione prima di allestire il tuo quartier generale in modalità sopravvivenza.
ACHIEVEMENTS/achievement_01_name;Indeciso
ACHIEVEMENTS/achievement_02_desc;"Mr. Riggs ""muore"" e lascia cadere l'ultima arma che stava impugnando."
ACHIEVEMENTS/achievement_02_name;Andare via a mani vuote
ACHIEVEMENTS/achievement_03_desc;Utilizzare 250 materiali di consumo
ACHIEVEMENTS/achievement_03_name;Qualcosa di utile
ACHIEVEMENTS/achievement_04_desc;Spara con 2 minigun contemporaneamente, senza interruzioni, per 15 secondi.
ACHIEVEMENTS/achievement_04_name;Esagerato?
ACHIEVEMENTS/achievement_05_desc;Qui non c'è bisogno di Scotty. Fai 101 salti nella spaccatura.
ACHIEVEMENTS/achievement_05_name;Teletrasportami
ACHIEVEMENTS/achievement_06_desc;Costruisci il tuo primo Hub di Comunicazione in modalità campagna o sopravvivenza.
ACHIEVEMENTS/achievement_06_name;Ashley Telefono Casa
ACHIEVEMENTS/achievement_07_desc;Vuoi davvero tenerlo pulito. Distruggi 10.000 distruttibili.
ACHIEVEMENTS/achievement_07_name;Togliti dal mio prato
ACHIEVEMENTS/achievement_08_desc;Utilizza le abilità 500 volte.
ACHIEVEMENTS/achievement_08_name;Conosco il Kung-Fu
ACHIEVEMENTS/achievement_09_desc;Fai un big bang. Posiziona una mina nucleare.
ACHIEVEMENTS/achievement_09_name;Evviva!
ACHIEVEMENTS/achievement_10_desc;Sporcati le mani! Uccidi 500 alieni con le mani nude del signor Riggs.
ACHIEVEMENTS/achievement_10_name;Lo farò io stesso...
ACHIEVEMENTS/achievement_11_desc;Non lasciare nulla indietro. Estrai almeno il 75% delle vene di risorse in qualsiasi mappa.
ACHIEVEMENTS/achievement_11_name;Estrazione a cielo aperto
ACHIEVEMENTS/achievement_12_desc;Sei una persona orribile! Stermina 1000 creature neutrali.
ACHIEVEMENTS/achievement_12_name;Persona orribile
ACHIEVEMENTS/achievement_13_desc;Nessuna pietra lasciata intatta. Trova almeno il 75% dei tesori nascosti sotterranei su qualsiasi mappa.
ACHIEVEMENTS/achievement_13_name;Il cacciatore di tesori
ACHIEVEMENTS/achievement_14_desc;Creare uno spazio di stoccaggio sufficiente per 50.000 unità di carbonio.
ACHIEVEMENTS/achievement_14_name;Conto bancario svizzero
ACHIEVEMENTS/achievement_15_desc;Possiedi contemporaneamente oltre 100 core AI.
ACHIEVEMENTS/achievement_15_name;Guidato dall'intelligenza artificiale
ACHIEVEMENTS/achievement_16_desc;Estrai simultaneamente ogni tipo di risorsa presente nel gioco.
ACHIEVEMENTS/achievement_16_name;Tutto ciò che luccica
ACHIEVEMENTS/achievement_17_desc;Completa qualsiasi modalità Sopravvivenza costruendo solo centrali solari, eoliche, a biomassa o geotermiche.
ACHIEVEMENTS/achievement_17_name;Passare al verde
ACHIEVEMENTS/achievement_18_desc;Riempi tutti gli slot disponibili per potenziamenti, materiali di consumo e armi.
ACHIEVEMENTS/achievement_18_name;Ispettore Gadget
ACHIEVEMENTS/achievement_19_desc;Io sono lo sciame. Avere 50 droni di qualsiasi tipo attivi contemporaneamente.
ACHIEVEMENTS/achievement_19_name;Ape regina
ACHIEVEMENTS/achievement_20_desc;Correre 21.097 metri.
ACHIEVEMENTS/achievement_20_name;Corri Robot corri!
ACHIEVEMENTS/achievement_21_desc;Costruire 21.196 metri di muri.
ACHIEVEMENTS/achievement_21_name;La Grande Muraglia di Galatea 37
ACHIEVEMENTS/achievement_22_desc;Costruisci un avamposto in 4 biomi diversi in modalità campagna.
ACHIEVEMENTS/achievement_22_name;Alla ricerca della casa perfetta
ACHIEVEMENTS/achievement_23_desc;Costruisci 1500 segmenti di tubo.
ACHIEVEMENTS/achievement_23_name;Investire in attività liquide
ACHIEVEMENTS/achievement_24_desc;Niente ti sfugge. Copri almeno il 75% di qualsiasi mappa con copertura radar.
ACHIEVEMENTS/achievement_24_name;Occhio che tutto vede
ACHIEVEMENTS/achievement_25_desc;Costruisci una spada di qualità estrema e modificala completamente con 3 mod estreme.
ACHIEVEMENTS/achievement_25_name;Excalibur
ACHIEVEMENTS/achievement_26_desc;Uccidi 50.000 creature ostili.
ACHIEVEMENTS/achievement_26_name;Scienziato?
ACHIEVEMENTS/achievement_27_desc;Equipaggia ogni singolo slot arma del signor Riggs con un equipaggiamento variante estremo.
ACHIEVEMENTS/achievement_27_name;Forma finale
ACHIEVEMENTS/achievement_28_desc;Vacanza su Galatea 37 completata! Completa la campagna o la modalità sopravvivenza.
ACHIEVEMENTS/achievement_28_name;Passeggiata nel parco
ACHIEVEMENTS/achievement_29_desc;Completa tutte le ricerche in un albero tecnologico.
ACHIEVEMENTS/achievement_29_name;Conoscenza proibita
ACHIEVEMENTS/achievement_30_desc;Leggi almeno il 75% delle voci nell'enciclopedia/bestiario
ACHIEVEMENTS/achievement_30_name;Verme di biblioteca
ACHIEVEMENTS/achievement_31_desc;Ottieni tutti gli altri trofei
ACHIEVEMENTS/achievement_31_name;Galatea è mia
ACHIEVEMENTS/achievement_32_desc;Scopri 10 bioanomalie metalliche.
ACHIEVEMENTS/achievement_32_name;Cercatore d'oro
ACHIEVEMENTS/achievement_33_desc;Uccidi 500 Fluriani.
ACHIEVEMENTS/achievement_33_name;Decimazione
ACHIEVEMENTS/achievement_34_desc;Costruisci 50 Torri Morphium.
ACHIEVEMENTS/achievement_34_name;I potenti Ranger della Torre Morphin
ACHIEVEMENTS/achievement_35_desc;Trasferire 5000 di qualsiasi liquido attraverso il compressore/decompressore.
ACHIEVEMENTS/achievement_35_name;Niente acqua? Nessun problema!
ACHIEVEMENTS/achievement_36_desc;Completa la sopravvivenza o la storia nel bioma metallico.
ACHIEVEMENTS/achievement_36_name;Metallo della morte
biomes/acid/acid.biome;Pianure acide
biomes/desert/desert.biome;Deserto radioattivo
biomes/jungle/jungle.biome;Zona tropicale
biomes/magma/magma.biome;Area vulcanica
biomes/metallic/metallic.biome;Valle metallica
BUTTON_about;Informazioni
BUTTON_achievements;Risultati
BUTTON_back;Indietro
BUTTON_back_to_headquarters;Ritorno alla sede centrale
BUTTON_buy_now;Acquista ora
BUTTON_cancel;Acquista ora
BUTTON_change_user_profile;Cambia profilo utente
BUTTON_confirm;Conferma
BUTTON_continue;Continua
BUTTON_continue_story;Continua il gioco
BUTTON_controls;Controlli
BUTTON_credits;Crediti
BUTTON_custom_game;Gioco personalizzato
BUTTON_download_content;Negozio
BUTTON_downloadable_content;Contenuto scaricabile
BUTTON_exit_game;Esci dal gioco
BUTTON_game_features;Caratteristiche della versione finale
BUTTON_game_features_demo;Funzionalità
BUTTON_help_and_options;Opzioni
BUTTON_how_to_play;Come si gioca
BUTTON_introductory_mission;Missione introduttiva
BUTTON_leaderboards;Classifiche
BUTTON_load_game;Carica gioco
BUTTON_main_menu;Menu principale
BUTTON_new_campaign;Nuova campagna
BUTTON_next;Succ.
BUTTON_no;NO
BUTTON_ok;OK
BUTTON_open_rift;Apri Rift
BUTTON_press_any_button;Premi un pulsante qualsiasi per iniziare
BUTTON_previous;Prec.
BUTTON_prologue_mission;Inizia il prologo
BUTTON_quick_load;Caricamento rapido
BUTTON_quick_save;Salvataggio rapido
BUTTON_reconstruct;Ricostruire
BUTTON_redeem;Riscatta il codice
BUTTON_restart;Ricomincia
BUTTON_restore_defaults;Ripristina predefiniti
BUTTON_resume_game;Riprendi il gioco
BUTTON_save_game;Salva partita
BUTTON_send;Inviare
BUTTON_send_bugs;Invia segnalazione bug
BUTTON_settings;Impostazioni
BUTTON_start;Inizio
BUTTON_start_game;Inizia il gioco
BUTTON_steam_page;Pagina di Steam
BUTTON_streaming;Streaming
BUTTON_survival;Sopravvivenza
BUTTON_unequip;Disequipaggiare
BUTTON_unlock_full_game;Sblocca il gioco completo
BUTTON_upsell;Acquista ora
BUTTON_wishlist;Aggiungi alla lista dei desideri adesso
BUTTON_yes;Si
campaigns/prologue/prologue.campaign;Prologo
campaigns/story/story.campaign;Campagna
campaigns/story/survival.campaign;Sopravvivenza
campaigns/survival/acid.campaign;Pianure Acide
campaigns/survival/desert.campaign;Deserto Radioattivo
campaigns/survival/jungle.campaign;Zona Tropicale
campaigns/survival/magma.campaign;Area Vulcanica
campaigns/survival/metallic.campaign;Valle Metallica
COMMON_1;1
COMMON_2;2
COMMON_3;3
COMMON_large;Grande
COMMON_Loading;Caricamento...
COMMON_loading/pre_alpha_info_1;Stai giocando a una versione Beta di Riftbreaker.\n Tieni presente che potresti riscontrare vari problemi e aspetti del gioco incompleti/sbilanciati.\n Lavori in corso :)
COMMON_loading/pre_alpha_info_2;Questa build contiene:\n\n Missione introduttiva: una missione predefinita e programmata che ha lo scopo di guidarti attraverso gli aspetti base del gameplay. \n\n Sopravvivenza: una missione non programmata generata casualmente in cui il tuo obiettivo principale è sopravvivere per un determinato periodo di tempo, finché non riesci ad aprire un portale per tornare sulla Terra.
COMMON_medium;Medio
COMMON_Null;
COMMON_postfix_lvl2;lvl. 2
COMMON_postfix_lvl3;lvl. 3
COMMON_postfix_lvl4;lvl. 4
COMMON_postfix_lvl5;lvl. 5
COMMON_postfix_lvl6;lvl. 6
COMMON_postfix_lvl7;lvl. 7
COMMON_postfix_lvl8;lvl. 8
COMMON_postfix_lvl9;lvl. 9
COMMON_saving_game;Salvataggio progressi…
COMMON_small;Piccolo
COMMON_Text_Line;COMMON_Text_Line
gui/hud/benchmark_results.avg;Media [fps]
gui/hud/benchmark_results.avg_max;Massimo [ms]
gui/hud/benchmark_results.avg_min;Minimo [ms]
gui/hud/benchmark_results.avg_ms;Media [ms]
gui/hud/benchmark_results.copy;Copia negli appunti
gui/hud/benchmark_results.framerate;Framerate (più alto è meglio)
gui/hud/benchmark_results.loading_time;Tempo di caricamento: ${loading_time}
gui/hud/benchmark_results.low;Basso 1%
gui/hud/benchmark_results.lowest;Basso 0,1%
gui/hud/benchmark_results.sections;Sezioni (più basso è meglio)
gui/hud/benchmark_results.title;Risultati di riferimento: ${benchmark_name}
gui/hud/benchmark_system.cpu_name;PROCESSORE:
gui/hud/benchmark_system.gpu_memory;Memoria GPU:
gui/hud/benchmark_system.gpu_name;Scheda grafica:
gui/hud/benchmark_system.hardware_info;Informazioni di sistema:
gui/hud/benchmark_system.system_memory;Memoria di sistema:
gui/hud/benchmark_system.system_version;Versione del sistema:
gui/hud/big_map/click_to_teleport;"<img=""gui/hud/keys/key_513""> Clicca su un'icona <img=""gui/hud/minimap_icons/gui_map_icon_headquarter"">/<img=""gui/hud/minimap_icons/gui_map_icon_rift"">/<img=""gui/hud/minimap_icons/gui_map_icon_player""> per teletrasportarti istantaneamente alla destinazione."
gui/hud/big_map/press_to_change;Seleziona un portale di frattura.
gui/hud/big_map/press_to_teleport;Teletrasportati al portale selezionato.
gui/hud/build_menu/building_limit;Limite di costruzione
gui/hud/build_menu/info.activate_portal;Attiva Rift Station
gui/hud/build_menu/info.cost_name;Costo di costruzione:
gui/hud/build_menu/info.cost_to_shoot;Costo delle riprese
gui/hud/build_menu/info.global_storage;Risorse globali:
gui/hud/build_menu/info.local_name;Risorse locali:
gui/hud/build_menu/info.maintain_name;Manutenzione:
gui/hud/build_menu/info.plants;Pianta:
gui/hud/build_menu/info.production_name;Produzione:
gui/hud/build_menu/info.repair_cost_name;Costo di riparazione:
gui/hud/build_menu/info.require_name;Requisiti:
gui/hud/build_menu/info.sell_name;Valore di decostruzione:
gui/hud/build_menu/info.storage_name;Spazio di archiviazione aggiuntivo:
gui/hud/build_menu/info.tower_ammo;Munizioni della torre
gui/hud/build_menu/info.tower_name;Statistiche della torre:
gui/hud/build_menu/info.tower_range;Gamma di torri
gui/hud/build_menu/info.upgrade_cost_name;Costo dell'aggiornamento:
gui/hud/building_description/ai_hub;Fornisce i nuclei di intelligenza artificiale necessari per gestire più edifici dotati di intelligenza artificiale, come le torri sentinella o la struttura di riparazione.
gui/hud/building_description/ammunition_storage;Raccoglie e immagazzina automaticamente le munizioni. Espande lo spazio di archiviazione globale per tutte le munizioni.
gui/hud/building_description/animal_biomass_powerplant;Produce energia dalla biomassa animale dei nemici caduti.
gui/hud/building_description/armory;Permette la creazione di nuove armi e oggetti. Produce automaticamente e trasporta istantaneamente munizioni e rifornimenti alla Mecha-Suit.
