;ITALIAN
ACHIEVEMENTS/achievement_43_desc;Uccidi 20 canceroth.
ACHIEVEMENTS/achievement_43_name;Non sono poi così resistenti.
ACHIEVEMENTS/achievement_44_desc;Distruggi 1000 nemici con HCM.
ACHIEVEMENTS/achievement_44_name;Adesso siamo noi i cattivi?
ACHIEVEMENTS/achievement_45_desc;Estrai risorse dalla cacca di Poogret – 10 volte
ACHIEVEMENTS/achievement_45_name;Per la scienza!
ACHIEVEMENTS/achievement_46_desc;Distruggi 250 oggetti di scena distruttibili con l'abilità tornado.
ACHIEVEMENTS/achievement_46_name;Stagione dei tornado
ACHIEVEMENTS/achievement_47_desc;Aprire 5 pozzi energetici.
ACHIEVEMENTS/achievement_47_name;Ora sono un supereroe.
ACHIEVEMENTS/achievement_48_desc;Completa la modalità sopravvivenza nel bioma Palude Fungina o nella campagna della storia Palude.
ACHIEVEMENTS/achievement_48_name;Fuori dalla mia palude!
BUTTON_confirm_wave;Aggiungi onda
BUTTON_Drop;Gocciolare
BUTTON_host_game;Hosta/Carica partita
BUTTON_join_game;Unisciti al gioco
BUTTON_multiplayer_game;Multigiocatore
BUTTON_refresh;Aggiornare
BUTTON_single_player_game;Giocatore singolo
campaigns/survival/mp_survival.campaign;Sopravvivenza
campaigns/survival/swamp_lakes.campaign;Palude Fungina
campaigns/survival/swamp.campaign;Foresta Fungina
gui/hud/building_description/bio_condenser;Questo edificio estrae la biomassa dal fango, lasciando dietro di sé i resti organici. In seguito vengono fermentati e trasformati in fanghi.
gui/hud/building_description/crystal_structure;Questi edifici utilizzano cristalli sintetizzati da campioni raccolti durante la missione Galatea 37. Possono essere usati per decorare la tua base.
gui/hud/building_description/future_city;I Riftbreaker possono usare queste strutture decorative per far sì che le loro basi sembrino più come casa. Questi edifici catturano tutte le ultime tendenze dell'architettura urbana della Terra.
gui/hud/building_description/gas_extractor;Posizionare questa struttura sopra una fonte di gas per spegnerlo e iniziare a raccogliere il gas infiammabile che fuoriesce da sotto il terreno.
gui/hud/building_description/scifi_structure;Queste strutture futuristiche e ad alta tecnologia possono essere utilizzate per dare alla tua base un aspetto completamente nuovo.
gui/hud/building_description/tower_hcm;Un silo che ospita un enorme razzo lanciato verticalmente e mirato a bersagli distanti. Una volta che il razzo raggiunge la destinazione, rilascia più dispositivi esplosivi che coprono un'area molto ampia. È richiesta una fornitura di gas.
gui/hud/building_description/tower_power_rod;La Power Rod Tower lancia testate a lungo raggio. Una volta raggiunto il bersaglio, una Power Rod emerge dalla testata. Produce archi elettrici ad alta tensione, danneggiando le unità vicine.
gui/hud/building_description/tower_shotgun;Questa torre utilizza munizioni di grosso calibro. Spara rapidamente raffiche a corto raggio di piccoli proiettili. È molto efficace contro grandi gruppi di piccoli aggressori.
gui/hud/building_description/tower_water_basic;I proiettili di questa torre incendiano i loro bersagli, infliggendo sia danni da contatto che danni nel tempo. È precisa e ha una lunga gittata, ma deve essere costruita su una superficie liquida.
gui/hud/building_description/tower_water_big;Floating Piercer Tower spara proiettili a lungo raggio che trafiggono più bersagli ed esplodono all'impatto finale con un'enorme esplosione. Tutti i bersagli subiscono danni criogenici e vengono notevolmente rallentati. Deve essere costruito su una superficie liquida.
gui/hud/building_description/wall_gate_crystal;Un innovativo cancello difensivo composto da cristalli sintetizzati provenienti dalle profondità sotterranee di Galatea 37. I cristalli sintetici si rompono in schegge frastagliate che infliggono danni significativi a tutti i nemici nelle vicinanze quando l'edificio viene distrutto.
