;ITALIAN
DIALOG/demo/ashley_base_defenses_01;Costruiamo delle mura e delle torri sentinella. Concentriamo le nostre difese sulla direzione ovest. Non cambiano mai l'inizio di questo esercizio...
DIALOG/demo/ashley_base_defenses_02;La macellazione di creature indigene non è mai stata il mio campo di competenza…
DIALOG/demo/ashley_base_defenses_03;Siamo pronti per loro, signor Riggs. Ricordatevi di usare i kit di riparazione se necessario.
DIALOG/demo/ashley_base_defenses_04;Il signor Riggs è l'unico compagno di cui ho bisogno. Possiamo gestire l'ignoto, lasciateci fare il nostro lavoro.
DIALOG/demo/ashley_build_hq_01;Costruzione della sede centrale in corso. A volte vorrei che potessimo accelerare questa parte della simulazione...
DIALOG/demo/ashley_build_hq_02;La macellazione di creature indigene non è mai stata il mio campo di competenza...
DIALOG/demo/ashley_build_or_attack;Ci servirà una Ironium Factory per costruire più difese. Dovremo trovare un deposito di minerale per costruirne una. Anche dare la caccia ad alcune creature sembra interessante.
DIALOG/demo/ashley_choose_objective_01;Non abbiamo avuto tempo di studiare le creature che ci stanno attaccando, l'unica cosa che possiamo fare adesso è combatterle o rafforzare le nostre difese. Ci servirà una Ironium Factory per costruire altre torri. Dovremo trovare un giacimento di minerale per costruirne una.
DIALOG/demo/ashley_hello;Non si preoccupi, signor Riggs, le nostre torri di guardia se ne occuperanno. Guardiamoli sparare, mentre io allungo un po' le nostre articolazioni.
DIALOG/demo/ashley_nest;Sembra una specie di alveare. Diamo un'occhiata dentro per vedere se è occupato.
DIALOG/demo/ashley_nest_2;Sembra che li abbiamo eliminati. Speriamo che questo ci dia un po' di tempo per costruire la nostra base.
DIALOG/demo/ashley_nest_3;Raccogliamo tutti i campioni di ricerca e le risorse rare che erano in questo nido. Possiamo studiarli più tardi e usarli per creare equipaggiamento migliore.
DIALOG/demo/ashley_nest_4;Ci sono più di una specie di creature attorno a questo nido. Dovremmo stare attenti.
DIALOG/demo/ashley_nest_5;Mi chiedo se questa sia solo una parte della simulazione o se le creature galatee saranno davvero così intelligenti. Ciò renderebbe il loro studio molto più interessante.
DIALOG/demo/ashley_place_towers;È vero. Dobbiamo piazzare qualche torre in più a est della nostra base nel caso in cui alcune di queste creature decidano di farci visita mentre non ci siamo.
DIALOG/demo/ashley_reporting_01;Houston, qui Ashley. Segnalazione di salto della spaccatura riuscito.
DIALOG/demo/ashley_second_attack;Ok. Facciamogli vedere che qui non sono i benvenuti.
